timestamp (in seconds),bus_trip_no,status,bus_stop_no,stop_id,stop_name,latitude,longitude,distance
72685,1,DISPATCHED_FROM,1,14232,Cleveland Ave Park & Ride,45.503106,-122.418964,0.0
72690,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310928571429,-122.41901772180451,4.202610040511083
72705,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503119142857145,-122.41917888721805,16.810440162044333
72720,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503129,-122.41934005263158,29.418270283577584
72735,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313885714286,-122.41950121804511,42.02610040511083
72750,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503148714285715,-122.41966238345864,54.633930526644086
72765,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315857142857,-122.41982354887219,67.24176064817733
72780,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50316842857143,-122.41998471428572,79.84959076971059
72795,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503178285714284,-122.42014587969925,92.45742089124383
72810,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50318814285715,-122.42030704511278,105.06525101277708
72825,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503198000000005,-122.42046821052632,117.67308113431034
72840,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50320785714286,-122.42062937593985,130.2809112558436
72855,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50321771428572,-122.42079054135338,142.88874137737685
72870,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503227571428575,-122.42095170676691,155.49657149891007
72885,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50323742857143,-122.42111287218046,168.10440162044333
72900,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50324728571429,-122.42127403759399,180.71223174197658
72915,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503257142857144,-122.42143520300752,193.32006186350984
72930,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503267,-122.42159636842105,205.9278919850431
72945,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50327685714286,-122.4217575338346,218.53572210657634
72960,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503286714285714,-122.42191869924812,231.14355222810957
72969,2,DISPATCHED_FROM,1,14232,Cleveland Ave Park & Ride,45.503106,-122.418964,0.0
72975,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50329657142857,-122.42207986466165,243.75138234964282
72975,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310963157895,-122.4190233767313,4.644990044775408
72990,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50330642857143,-122.42224103007518,256.3592124711761
72990,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503118710526316,-122.41917181855956,16.257465156713927
73005,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503316285714284,-122.42240219548871,268.96704259270933
73005,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50312778947369,-122.41932026038782,27.86994026865245
73020,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50332614285715,-122.42256336090226,281.5748727142426
73020,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50313686842105,-122.41946870221607,39.482415380590965
73035,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503336000000004,-122.42272452631579,294.18270283577584
73035,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503145947368424,-122.41961714404432,51.09489049252949
73050,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50315502631579,-122.41976558587258,62.70736560446801
73050,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50334585714286,-122.42288569172932,306.7905329573091
73065,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50335571428572,-122.42304685714285,319.39836307884235
73065,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50316410526316,-122.41991402770083,74.31984071640653
73080,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50317318421053,-122.42006246952909,85.93231582834505
73080,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503365571428574,-122.4232080225564,332.0061932003756
73095,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503182263157896,-122.42021091135734,97.54479094028356
73095,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50337542857143,-122.42336918796993,344.61402332190886
73110,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50319134210527,-122.4203593531856,109.15726605222208
73110,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50338528571429,-122.42353035338346,357.22185344344206
73125,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50320042105263,-122.42050779501385,120.7697411641606
73125,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503395142857144,-122.42369151879699,369.8296835649753
73140,2,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503209500000004,-122.4206562368421,132.38221627609911
73140,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503405,-122.42385268421053,382.43751368650857
73155,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50341485714286,-122.42401384962406,395.0453438080418
