timestamp (in seconds),bus_trip_no,status,bus_stop_no,stop_id,stop_name,latitude,longitude,distance
44322,1,DISPATCHED_FROM,1,9302,NW 5th & Hoyt,45.527692,-122.67563,0.0
44340,1,TRANSIT_TO,2,9301,NW 5th & Davis,45.5267959,-122.6756066,99.65844674294821
44370,1,TRANSIT_TO,2,9301,NW 5th & Davis,45.5253024,-122.6755676,265.7558579811952
44382,1,STOPPED_AT,2,9301,NW 5th & Davis,45.524705,-122.675552,332.19482247649404
44400,1,TRANSIT_TO,3,7642,SW 5th & Washington,45.52425651685393,-122.67568376404495,383.1094359793153
44430,1,TRANSIT_TO,3,7642,SW 5th & Washington,45.522761573033705,-122.6761229775281,552.8248143220528
44460,1,TRANSIT_TO,3,7642,SW 5th & Washington,45.52126662921348,-122.67656219101124,722.5401926647903
44480,1,STOPPED_AT,3,7642,SW 5th & Washington,45.52027,-122.676855,835.6837782266155
44490,1,DWELL_AT,3,7642,SW 5th & Washington,45.52027,-122.676855,835.6837782266155
44520,1,DWELL_AT,3,7642,SW 5th & Washington,45.52027,-122.676855,835.6837782266155
44550,1,TRANSIT_TO,4,7634,SW 5th & Salmon,45.5189847368421,-122.67754819298246,988.4629589489399
44580,1,TRANSIT_TO,4,7634,SW 5th & Salmon,45.517232105263155,-122.67849345614036,1196.7982053884732
44585,1,STOPPED_AT,4,7634,SW 5th & Salmon,45.51694,-122.678651,1231.5207464617288
44610,1,DWELL_AT,4,7634,SW 5th & Salmon,45.51694,-122.678651,1231.5207464617288
44640,1,DWELL_AT,4,7634,SW 5th & Salmon,45.51694,-122.678651,1231.5207464617288
44670,1,TRANSIT_TO,5,7594,SW 5th & Columbia,45.5162352,-122.67904086666667,1315.572143016958
44700,1,TRANSIT_TO,5,7594,SW 5th & Columbia,45.5149137,-122.67977186666667,1473.1685115580133
44714,1,STOPPED_AT,5,7594,SW 5th & Columbia,45.514297,-122.680113,1546.713483543839
44730,1,TRANSIT_TO,6,10491,SW 5th & Hall,45.51425233333333,-122.68013714444444,1552.0245707152624
44760,1,TRANSIT_TO,6,10491,SW 5th & Hall,45.51291233333333,-122.68086147777778,1711.3571858579685
44790,1,TRANSIT_TO,6,10491,SW 5th & Hall,45.51157233333333,-122.68158581111112,1870.6898010006746
44819,1,STOPPED_AT,6,10491,SW 5th & Hall,45.510277,-122.682286,2024.711328971957
44820,1,DWELL_AT,6,10491,SW 5th & Hall,45.510277,-122.682286,2024.711328971957
44850,1,DWELL_AT,6,10491,SW 5th & Hall,45.510277,-122.682286,2024.711328971957
44872,2,DISPATCHED_FROM,1,9302,NW 5th & Hoyt,45.527692,-122.67563,0.0
44880,2,TRANSIT_TO,2,9301,NW 5th & Davis,45.527457725490194,-122.67562388235294,26.054495880509336
44880,1,TRANSIT_TO,7,3397,300 Block SW Lincoln,45.50977706711409,-122.68185230872484,2089.7680586661304
44910,2,TRANSIT_TO,2,9301,NW 5th & Davis,45.52657919607843,-122.67560094117647,123.75885543241935
44910,1,TRANSIT_TO,7,3397,300 Block SW Lincoln,45.509277134228185,-122.68141861744967,2154.824788360304
44940,1,TRANSIT_TO,7,3397,300 Block SW Lincoln,45.50877720134228,-122.6809849261745,2219.8815180544775
