pippenId,pippenCreatedAt,tripId,tripRouteId,tripDirectionId,tripStartTime,tripStartDate,vehicleTimestamp,vehicleLabel,vehicleID,vehicleLat,vehicleLong,vehicleBearing,vehicleStopSequence,vehicleStopID,vehicleCurrentStatus
5,2023-09-17T20:07:08.669832Z,12748579,2,0,,,1694981223,FX2 To Portland,3313,45.50458,-122.4905,270,11,1416,IN_TRANSIT_TO
6,2023-09-17T20:07:08.672468Z,12748576,2,0,,,1694981210,FX2 To Portland,3321,45.504826,-122.645905,270,33,14243,STOPPED_AT
7,2023-09-17T20:07:08.675143Z,12748578,2,0,,,1694981210,FX2 To Portland,4502,45.5044,-122.56432,271,21,13298,IN_TRANSIT_TO
8,2023-09-17T20:07:08.677592Z,12748118,2,0,,,1694981201,FX2 To Gresham,4509,45.50525,-122.66653,47,9,13772,IN_TRANSIT_TO
9,2023-09-17T20:07:08.679885Z,12748581,2,0,,,1694981210,FX2 To Portland,4511,45.502277,-122.418045,211,2,14232,IN_TRANSIT_TO
10,2023-09-17T20:07:08.682673Z,12748575,2,0,,,1694981201,FX2 To NW 5th & Hoyt,4512,45.51732,-122.6796,20,40,7800,IN_TRANSIT_TO
11,2023-09-17T20:07:08.685099Z,12748119,2,0,,,1694981201,FX2 To Gresham,4514,45.520123,-122.67683,200,3,7642,STOPPED_AT
12,2023-09-17T20:07:08.687465Z,12748115,2,0,,,1694981210,FX2 To Cleveland Ave,4517,45.504444,-122.45251,89,38,9426,IN_TRANSIT_TO
13,2023-09-17T20:07:08.689748Z,12748116,2,0,,,1694981207,FX2 To Gresham,4520,45.504387,-122.56388,91,24,1359,IN_TRANSIT_TO
14,2023-09-17T20:07:08.69198Z,12748577,2,0,,,1694981223,FX2 To Portland,4523,45.50513,-122.61888,229,29,1459,IN_TRANSIT_TO
16,2023-09-17T20:07:08.696578Z,12748580,2,0,,,1694981192,FX2 To Portland,4527,45.50427,-122.426025,0,4,14234,IN_TRANSIT_TO
17,2023-09-17T20:07:08.69871Z,12748117,2,0,,,1694981201,FX2 To Gresham,4529,45.504784,-122.62293,90,15,1458,IN_TRANSIT_TO
27,2023-09-17T20:07:37.057278Z,12748579,2,0,,,1694981252,FX2 To Portland,3313,45.504566,-122.495,269,11,1416,IN_TRANSIT_TO
28,2023-09-17T20:07:37.059684Z,12748576,2,0,,,1694981249,FX2 To Portland,3321,45.50483,-122.64635,270,34,14244,IN_TRANSIT_TO
29,2023-09-17T20:07:37.062289Z,12748578,2,0,,,1694981240,FX2 To Portland,4502,45.50451,-122.56744,271,21,13298,STOPPED_AT
30,2023-09-17T20:07:37.064588Z,12748118,2,0,,,1694981232,FX2 To Gresham,4509,45.50637,-122.6648,46,9,13772,IN_TRANSIT_TO
31,2023-09-17T20:07:37.066769Z,12748581,2,0,,,1694981240,FX2 To Portland,4511,45.502277,-122.418045,211,2,14232,IN_TRANSIT_TO
32,2023-09-17T20:07:37.069035Z,12748575,2,0,,,1694981232,FX2 To NW 5th & Hoyt,4512,45.517555,-122.679474,20,40,7800,STOPPED_AT
33,2023-09-17T20:07:37.071529Z,12748119,2,0,,,1694981232,FX2 To Gresham,4514,45.518456,-122.677734,200,4,7634,IN_TRANSIT_TO
34,2023-09-17T20:07:37.073996Z,12748115,2,0,,,1694981240,FX2 To Cleveland Ave,4517,45.50448,-122.448784,89,38,9426,STOPPED_AT
35,2023-09-17T20:07:37.076171Z,12748116,2,0,,,1694981238,FX2 To Gresham,4520,45.50431,-122.55925,91,24,1359,STOPPED_AT
36,2023-09-17T20:07:37.078373Z,12748577,2,0,,,1694981252,FX2 To Portland,4523,45.504784,-122.62202,270,29,1459,IN_TRANSIT_TO
38,2023-09-17T20:07:37.088346Z,12748580,2,0,,,1694981192,FX2 To Portland,4527,45.50427,-122.426025,0,4,14234,IN_TRANSIT_TO
39,2023-09-17T20:07:37.090932Z,12748117,2,0,,,1694981240,FX2 To Gresham,4529,45.504784,-122.62172,89,16,8791,IN_TRANSIT_TO
49,2023-09-17T20:08:18.410342Z,12748579,2,0,,,1694981288,FX2 To Portland,3313,45.504562,-122.496574,267,12,14237,IN_TRANSIT_TO
50,2023-09-17T20:08:18.413607Z,12748576,2,0,,,1694981280,FX2 To Portland,3321,45.504845,-122.65112,270,34,14244,IN_TRANSIT_TO
51,2023-09-17T20:08:18.41706Z,12748578,2,0,,,1694981297,FX2 To Portland,4502,45.504517,-122.5705,271,22,1501,IN_TRANSIT_TO
52,2023-09-17T20:08:18.41966Z,12748118,2,0,,,1694981291,FX2 To Gresham,4509,45.506565,-122.66357,91,9,13772,IN_TRANSIT_TO
53,2023-09-17T20:08:18.422032Z,12748581,2,0,,,1694981271,FX2 To Portland,4511,45.502277,-122.418045,211,2,14232,IN_TRANSIT_TO
54,2023-09-17T20:08:18.424357Z,12748575,2,0,,,1694981291,FX2 To NW 5th & Hoyt,4512,45.517555,-122.679474,20,40,7800,STOPPED_AT
55,2023-09-17T20:08:18.426914Z,12748119,2,0,,,1694981282,FX2 To Gresham,4514,45.516796,-122.67864,200,4,7634,STOPPED_AT
56,2023-09-17T20:08:18.429297Z,12748115,2,0,,,1694981288,FX2 To Cleveland Ave,4517,45.504456,-122.444214,91,39,14229,IN_TRANSIT_TO
57,2023-09-17T20:08:18.431584Z,12748116,2,0,,,1694981294,FX2 To Gresham,4520,45.504253,-122.55485,90,25,14227,IN_TRANSIT_TO
58,2023-09-17T20:08:18.43401Z,12748577,2,0,,,1694981282,FX2 To Portland,4523,45.504784,-122.62302,270,29,1459,STOPPED_AT
60,2023-09-17T20:08:18.439082Z,12748580,2,0,,,1694981192,FX2 To Portland,4527,45.50427,-122.426025,0,4,14234,IN_TRANSIT_TO
61,2023-09-17T20:08:18.441683Z,12748117,2,0,,,1694981271,FX2 To Gresham,4529,45.50513,-122.61888,49,16,8791,IN_TRANSIT_TO
67,2023-09-17T20:08:41.081899Z,12748579,2,0,,,1694981319,FX2 To Portland,3313,45.50445,-122.50038,267,12,14237,IN_TRANSIT_TO
68,2023-09-17T20:08:41.08538Z,12748576,2,0,,,1694981310,FX2 To Portland,3321,45.504864,-122.655266,271,34,14244,STOPPED_AT
69,2023-09-17T20:08:41.087926Z,12748578,2,0,,,1694981297,FX2 To Portland,4502,45.504517,-122.5705,271,22,1501,IN_TRANSIT_TO
70,2023-09-17T20:08:41.090439Z,12748118,2,0,,,1694981291,FX2 To Gresham,4509,45.506565,-122.66357,91,9,13772,IN_TRANSIT_TO
71,2023-09-17T20:08:41.093Z,12748581,2,0,,,1694981301,FX2 To Portland,4511,45.502277,-122.418045,211,2,14232,IN_TRANSIT_TO
72,2023-09-17T20:08:41.095365Z,12748575,2,0,,,1694981291,FX2 To NW 5th & Hoyt,4512,45.517555,-122.679474,20,40,7800,STOPPED_AT
73,2023-09-17T20:08:41.097806Z,12748119,2,0,,,1694981313,FX2 To Gresham,4514,45.514587,-122.67984,200,5,7594,IN_TRANSIT_TO
74,2023-09-17T20:08:41.100151Z,12748115,2,0,,,1694981319,FX2 To Cleveland Ave,4517,45.504436,-122.44195,89,39,14229,STOPPED_AT
75,2023-09-17T20:08:41.103908Z,12748116,2,0,,,1694981294,FX2 To Gresham,4520,45.504253,-122.55485,90,25,14227,IN_TRANSIT_TO
76,2023-09-17T20:08:41.106313Z,12748577,2,0,,,1694981301,FX2 To Portland,4523,45.504784,-122.62355,270,30,1452,IN_TRANSIT_TO
77,2023-09-17T20:08:41.108835Z,12748580,2,0,,,1694981192,FX2 To Portland,4527,45.50427,-122.426025,0,4,14234,IN_TRANSIT_TO
78,2023-09-17T20:08:41.111234Z,12748117,2,0,,,1694981301,FX2 To Gresham,4529,45.505283,-122.615456,89,17,14225,IN_TRANSIT_TO
79,2023-09-17T20:09:22.744952Z,12748579,2,0,,,1694981349,FX2 To Portland,3313,45.504402,-122.5021,268,12,14237,STOPPED_AT
80,2023-09-17T20:09:22.748847Z,12748576,2,0,,,1694981340,FX2 To Portland,3321,45.50546,-122.65709,308,35,13773,IN_TRANSIT_TO
81,2023-09-17T20:09:22.751178Z,12748578,2,0,,,1694981358,FX2 To Portland,4502,45.504597,-122.57533,271,22,1501,STOPPED_AT
82,2023-09-17T20:09:22.753528Z,12748118,2,0,,,1694981352,FX2 To Gresham,4509,45.50655,-122.66234,90,9,13772,STOPPED_AT
83,2023-09-17T20:09:22.757517Z,12748581,2,0,,,1694981361,FX2 To Portland,4511,45.502277,-122.418045,211,2,14232,IN_TRANSIT_TO
84,2023-09-17T20:09:22.759678Z,12748575,2,0,,,1694981352,FX2 To NW 5th & Hoyt,4512,45.518955,-122.67872,20,41,7797,IN_TRANSIT_TO
