timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
996,1,DISPATCHED_FROM,1,45.492786,-122.401855,0
997,1,TRANSIT_TO,2,45.4928668,-122.4021164,22.26351833
998,1,TRANSIT_TO,2,45.4929476,-122.4023777,44.52703667
999,1,TRANSIT_TO,2,45.4930284,-122.402639,66.790555
1000,1,TRANSIT_TO,2,45.4931092,-122.4029004,89.05407334
1001,1,TRANSIT_TO,2,45.49319,-122.4031618,111.3175917
1002,1,TRANSIT_TO,2,45.4932708,-122.4034231,133.58111
1003,1,TRANSIT_TO,2,45.4933516,-122.4036845,155.8446283
1004,1,TRANSIT_TO,2,45.4934324,-122.4039458,178.1081467
1005,1,TRANSIT_TO,2,45.4935132,-122.4042071,200.371665
1006,1,TRANSIT_TO,2,45.493594,-122.4044685,222.6351833
1007,1,TRANSIT_TO,2,45.4936748,-122.4047299,244.8987017
1008,1,TRANSIT_TO,2,45.4937556,-122.4049912,267.16222
1009,1,TRANSIT_TO,2,45.4938364,-122.4052526,289.4257384
1010,1,TRANSIT_TO,2,45.4939172,-122.4055139,311.6892567
1011,1,TRANSIT_TO,2,45.493998,-122.4057752,333.952775
1012,1,TRANSIT_TO,2,45.4940788,-122.4060366,356.2162934
1013,1,TRANSIT_TO,2,45.4941596,-122.406298,378.4798117
1014,1,TRANSIT_TO,2,45.4942404,-122.4065593,400.74333
1015,1,TRANSIT_TO,2,45.4943212,-122.4068207,423.0068484
1016,1,TRANSIT_TO,2,45.494402,-122.407082,445.2703667
1017,1,TRANSIT_TO,2,45.4944828,-122.4073433,467.533885
1018,1,TRANSIT_TO,2,45.4945636,-122.4076047,489.7974034
1019,1,TRANSIT_TO,2,45.4946444,-122.4078661,512.0609217
1020,1,TRANSIT_TO,2,45.4947252,-122.4081274,534.32444
1021,1,TRANSIT_TO,2,45.494806,-122.4083888,556.5879584
1022,1,TRANSIT_TO,2,45.4948868,-122.4086501,578.8514767
1023,1,TRANSIT_TO,2,45.4949676,-122.4089114,601.114995
1024,1,TRANSIT_TO,2,45.4950484,-122.4091728,623.3785134
1025,1,TRANSIT_TO,2,45.4951292,-122.4094342,645.6420317
1026,1,TRANSIT_TO,2,45.49521,-122.4096955,667.90555
1027,1,TRANSIT_TO,2,45.4952908,-122.4099569,690.1690684
1028,1,TRANSIT_TO,2,45.4953716,-122.4102182,712.4325867
1029,1,TRANSIT_TO,2,45.4954524,-122.4104795,734.696105
