timestamp (in seconds),bus_trip_no,status,bus_stop_no,latitude,longitude,distance
1112,1,DISPATCHED_FROM,1,45.492786,-122.401855,0.0
1125,1,TRANSIT_TO,2,45.4938364,-122.40525255,289.4257383529052
1140,1,TRANSIT_TO,2,45.4950484,-122.4091728,623.3785133754882
1155,1,TRANSIT_TO,2,45.496260400000004,-122.41309305,957.3312883980711
1170,1,TRANSIT_TO,2,45.4974724,-122.4170133,1291.284063420654
1185,1,TRANSIT_TO,2,45.4986844,-122.42093355,1625.236838443237
1200,1,TRANSIT_TO,2,45.499896400000004,-122.4248538,1959.18961346582
1212,1,STOPPED_AT,2,45.500866,-122.42799,2226.3518334838864
1215,1,DWELL_AT,2,45.500866,-122.42799,2226.3518334838864
1230,1,TRANSIT_TO,3,45.50094176,-122.427954,2235.230891067941
1245,1,TRANSIT_TO,3,45.501083810000004,-122.4278865,2251.8791240380424
1260,1,TRANSIT_TO,3,45.501225860000005,-122.427819,2268.5273570081445
1275,1,TRANSIT_TO,3,45.50136791,-122.4277515,2285.175589978246
1290,1,TRANSIT_TO,3,45.50150996,-122.427684,2301.823822948348
1305,1,TRANSIT_TO,3,45.50165201,-122.4276165,2318.4720559184498
1320,1,TRANSIT_TO,3,45.50179406,-122.427549,2335.120288888552
1335,1,TRANSIT_TO,3,45.50193611,-122.4274815,2351.7685218586535
1350,1,TRANSIT_TO,3,45.50207816,-122.427414,2368.4167548287555
1365,1,TRANSIT_TO,3,45.502220210000004,-122.4273465,2385.064987798857
1380,1,TRANSIT_TO,3,45.502362260000005,-122.427279,2401.713220768959
1395,1,TRANSIT_TO,3,45.50250431,-122.4272115,2418.361453739061
1410,1,TRANSIT_TO,3,45.50264636,-122.42714400000001,2435.009686709163
1422,1,STOPPED_AT,3,45.50276,-122.42709,2448.3282730852443
1425,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1440,1,DWELL_AT,3,45.50276,-122.42709,2448.3282730852443
1455,1,TRANSIT_TO,4,45.5025546,-122.42683758333334,2478.472114397774
1470,1,TRANSIT_TO,4,45.502317600000005,-122.42654633333333,2513.2534697583847
1485,1,TRANSIT_TO,4,45.5020806,-122.42625508333334,2548.0348251189957
1500,1,TRANSIT_TO,4,45.5018436,-122.42596383333334,2582.816180479607
1515,1,TRANSIT_TO,4,45.5016066,-122.42567258333334,2617.597535840218
1530,1,TRANSIT_TO,4,45.501369600000004,-122.42538133333333,2652.378891200829
1545,1,TRANSIT_TO,4,45.5011326,-122.42509008333334,2687.16024656144
1560,1,TRANSIT_TO,4,45.5008956,-122.42479883333334,2721.9416019220507
1575,1,TRANSIT_TO,4,45.5006586,-122.42450758333334,2756.722957282662
1590,1,TRANSIT_TO,4,45.5004216,-122.42421633333333,2791.504312643273
1605,1,TRANSIT_TO,4,45.5001846,-122.42392508333334,2826.285668003884
1620,1,TRANSIT_TO,4,45.4999476,-122.42363383333334,2861.067023364495
1635,1,TRANSIT_TO,4,45.4997106,-122.42334258333334,2895.848378725106
1650,1,TRANSIT_TO,4,45.4994736,-122.42305133333333,2930.6297340857172
1665,1,TRANSIT_TO,4,45.499236599999996,-122.42276008333334,2965.4110894463283
