timestamp (in seconds),bus_trip_no,status,bus_stop_no,stop_id,stop_name,latitude,longitude,distance
72685,1,DISPATCHED_FROM,1,14232,Cleveland Ave Park & Ride,45.503106,-122.418964,0
72686,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310665714286,-122.4189747,0.8405220081022167
72687,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503107314285714,-122.4189855,1.6810440162044333
72688,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310797142858,-122.4189962,2.521566024
72689,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310862857143,-122.419007,3.3620880324088667
72690,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50310928571429,-122.4190177,4.202610040511083
72691,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503109942857144,-122.4190285,5.043132049
72692,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031106,-122.4190392,5.883654056715517
72693,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311125714286,-122.41905,6.724176064817733
72694,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311191428572,-122.4190607,7.564698073
72695,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503112571428574,-122.4190714,8.405220081022167
72696,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311322857143,-122.4190822,9.245742089124384
72697,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503113885714285,-122.4190929,10.0862641
72698,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311454285715,-122.4191037,10.926786105328816
72699,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.5031152,-122.4191144,11.767308113431033
72700,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311585714286,-122.4191252,12.607830121533251
72701,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.503116514285715,-122.4191359,13.448352129635467
72702,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311717142857,-122.4191467,14.288874137737682
72703,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311782857143,-122.4191574,15.12939615
72704,1,TRANSIT_TO,2,14233,Gresham Central Transit Center,45.50311848571429,-122.4191681,15.969918153942118
