timestamp (in seconds),bus_trip_no,status,bus_stop_no,stop_id,stop_name,latitude,longitude,distance
73375,1,DISPATCHED_FROM,1,1316,NW Division & Civic Dr,45.504618,-122.441835,0.0
73376,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461793082707,-122.44186576240601,2.397363348113559
73377,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461786165413,-122.44189652481202,4.794726696227118
73378,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504617792481206,-122.44192728721804,7.192090044340676
73379,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461772330827,-122.44195804962406,9.589453392454235
73380,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461765413534,-122.44198881203008,11.986816740567793
73381,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.5046175849624,-122.44201957443609,14.384180088681353
73382,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461751578948,-122.4420503368421,16.781543436794912
73383,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461744661654,-122.44208109924811,19.17890678490847
73384,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461737744361,-122.44211186165413,21.576270133022028
73385,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504617308270674,-122.44214262406015,23.973633481135586
73386,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461723909775,-122.44217338646617,26.370996829249147
73387,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461716992481,-122.44220414887218,28.768360177362705
73388,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461710075188,-122.44223491127819,31.165723525476263
73389,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504617031578945,-122.4422656736842,33.563086873589825
73390,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461696240602,-122.44229643609022,35.96045022170338
73391,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504616893233084,-122.44232719849624,38.35781356981694
73392,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461682406015,-122.44235796090226,40.7551769179305
73393,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504616754887216,-122.44238872330827,43.152540266044056
73394,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461668571429,-122.44241948571428,45.549903614157614
73395,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504616616541355,-122.4424502481203,47.94726696227117
73396,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461654736842,-122.44248101052631,50.34463031038474
73397,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461647819549,-122.44251177293233,52.741993658498295
73398,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461640902256,-122.44254253533835,55.13935700661185
73399,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504616339849626,-122.44257329774436,57.53672035472541
73400,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461627067669,-122.44260406015037,59.93408370283897
73401,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461620150376,-122.44263482255639,62.33144705095253
73402,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461613233083,-122.4426655849624,64.72881039906609
73403,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.5046160631579,-122.44269634736843,67.12617374717965
73404,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461599398496,-122.44272710977444,69.52353709529321
73405,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461592481203,-122.44275787218045,71.92090044340677
73406,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.5046158556391,-122.44278863458646,74.31826379152032
73407,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461578646617,-122.44281939699248,76.71562713963388
73408,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504615717293234,-122.44285015939849,79.11299048774744
73409,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.5046156481203,-122.44288092180452,81.510353835861
73410,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504615578947366,-122.44291168421053,83.90771718397455
73411,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461550977444,-122.44294244661654,86.30508053208811
73412,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504615440601505,-122.44297320902255,88.70244388020167
73413,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461537142857,-122.44300397142857,91.09980722831523
73414,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461530225564,-122.44303473383458,93.49717057642879
73415,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461523308271,-122.44306549624059,95.89453392454234
73416,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504615163909776,-122.44309625864662,98.29189727265592
73417,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461509473684,-122.44312702105263,100.68926062076947
73418,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461502556391,-122.44315778345864,103.08662396888303
73419,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461495639098,-122.44318854586466,105.48398731699659
73420,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461488721805,-122.44321930827067,107.88135066511015
73421,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461481804511,-122.44325007067668,110.2787140132237
73422,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461474887218,-122.44328083308271,112.67607736133726
73423,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461467969925,-122.44331159548872,115.07344070945082
73424,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461461052632,-122.44334235789474,117.47080405756438
73425,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504614541353384,-122.44337312030075,119.86816740567794
73426,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461447218045,-122.44340388270676,122.2655307537915
73427,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461440300752,-122.44343464511277,124.66289410190505
73428,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461433383459,-122.4434654075188,127.06025745001861
73429,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504614264661654,-122.44349616992481,129.45762079813218
73430,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461419548872,-122.44352693233083,131.85498414624573
73431,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461412631579,-122.44355769473684,134.2523474943593
73432,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461405714286,-122.44358845714285,136.64971084247284
73433,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504613987969925,-122.44361921954886,139.04707419058641
73434,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461391879699,-122.44364998195489,141.44443753869996
73435,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504613849624064,-122.4436807443609,143.84180088681353
73436,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461378045113,-122.44371150676692,146.23916423492707
73437,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504613711278196,-122.44374226917293,148.63652758304065
73438,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461364210526,-122.44377303157894,151.0338909311542
73439,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461357293233,-122.44380379398496,153.43125427926776
73440,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.5046135037594,-122.44383455639098,155.82861762738133
73441,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461343458647,-122.443865318797,158.22598097549488
73442,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461336541353,-122.44389608120301,160.62334432360845
73443,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.5046132962406,-122.44392684360902,163.020707671722
73444,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461322706767,-122.44395760601503,165.41807101983557
73445,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461315789474,-122.44398836842105,167.8154343679491
73446,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.504613088721804,-122.44401913082707,170.21279771606268
73447,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461301954887,-122.44404989323309,172.61016106417622
73448,1,TRANSIT_TO,2,1334,NW Division & Eastwood Ave,45.50461295037594,-122.4440806556391,175.0075244122898
