stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
10857,10857,Gresham Central Transit Center,gresham central transit center,Eastbound stop in Gresham (Stop ID 10857),45.502718,-122.427108,B,https://trimet.org/home/stop/10857,0,,East,At
2253,2253,Gresham Central Transit Center,gresham central transit center,Eastbound stop in Gresham (Stop ID 2253),45.502592,-122.426486,B,https://trimet.org/home/stop/2253,0,,East,At
13211,13211,NE Hood & 5th,northeast hood & 5th,Southbound stop in Gresham (Stop ID 13211),45.501098,-122.428024,B,https://trimet.org/home/stop/13211,0,,South,Nearside
13033,13033,NE Hood & 2nd,northeast hood & 2nd,Southbound stop in Gresham (Stop ID 13033),45.498613,-122.427832,B,https://trimet.org/home/stop/13033,0,,South,Farside
13474,13474,E Powell & NE Elliott,east powell & northeast elliott,Eastbound stop in Gresham (Stop ID 13474),45.49792,-122.424876,B,https://trimet.org/home/stop/13474,0,,East,Opposite
4520,4520,E Powell & SE Cleveland,east powell & southeast cleveland,Eastbound stop in Gresham (Stop ID 4520),45.497919,-122.421209,B,https://trimet.org/home/stop/4520,0,,East,Nearside
4531,4531,E Powell & NE Liberty,east powell & northeast liberty,Eastbound stop in Gresham (Stop ID 4531),45.497888,-122.418723,B,https://trimet.org/home/stop/4531,0,,East,Opposite
4529,4529,E Powell & SE Hogan,east powell & southeast hogan,Eastbound stop in Gresham (Stop ID 4529),45.497829,-122.414506,B,https://trimet.org/home/stop/4529,0,,East,Nearside
4639,4639,E Powell & SE 3rd,east powell & southeast 3rd,Southbound stop in Gresham (Stop ID 4639),45.495758,-122.412109,B,https://trimet.org/home/stop/4639,0,,South,Opposite
4545,4545,E Powell & SE Rene,east powell & southeast rene,Eastbound stop in Gresham (Stop ID 4545),45.494326,-122.409729,B,https://trimet.org/home/stop/4545,0,,East,Farside
4713,4713,2800 Block SE Powell Valley,twenty-eight-hundred block southeast powell valley,Eastbound stop in Gresham (Stop ID 4713),45.493064,-122.403517,B,https://trimet.org/home/stop/4713,0,,East,At
